"cam","BB","BO","TO","TB","TS","SB","Top.Roughness","Dist.FW","FPAR","Elevation","isothermal","Veg","Land.Use","Soil.Class"
"CM-S8-C5",0,0,0,5,7,3,27,15424.2373046875,0.247268214821815,508.946899414062,0.485150039196014,"Human/Other","Plantation","5"
"CM-S9-C1",1,0,0,13,0,24,36,20575.515625,0.20064377784729,479.197631835938,0.485732018947601,"Human/Other","Reserve","4"
"CM-S9-C2",0,1,0,9,0,10,40,27173.607421875,0.174911350011826,458.441528320312,0.48416456580162,"Human/Other","Plantation","5"
"CM-S9-C3",12,0,0,0,0,5,34,28270.884765625,0.216818928718567,378.395172119141,0.48998749256134,"Woodland","Reserve","5"
"CM-S9-C4",0,0,0,1,0,10,34,28270.884765625,0.216818928718567,378.395172119141,0.48998749256134,"Woodland","Reserve","5"
"CM-S9-C5",1,0,0,1,0,7,16,29312.94921875,0.23192410171032,448.861114501953,0.483375549316406,"Human/Other","Plantation","5"
"HR-C1",0,0,0,3,0,3,155,8701.3388671875,0.32015472650528,77.0718383789062,0.532223343849182,"TallEuc","Reserve","8"
"HR-C10",1,3,0,2,0,0,60,7507.86572265625,0.34107032418251,124.750244140625,0.533863246440887,"Woodland","Reserve","8"
"HR-C2",0,0,0,1,0,1,155,8701.3388671875,0.32015472650528,77.0718383789062,0.532223343849182,"TallEuc","Reserve","8"
"HR-C3",0,0,0,14,0,4,155,8701.3388671875,0.32015472650528,77.0718383789062,0.532223343849182,"TallEuc","Reserve","8"
"HR-C4_S1",0,0,0,4,0,0,157,7951.025390625,0.365462839603424,196.711563110352,0.521540462970734,"Human/Other","ModifiedNative","8"
"HR-C5",0,0,0,11,0,2,157,7951.025390625,0.365462839603424,196.711563110352,0.521540462970734,"Human/Other","ModifiedNative","8"
"HR-C6",0,0,0,3,0,2,155,8701.3388671875,0.32015472650528,77.0718383789062,0.532223343849182,"TallEuc","Reserve","8"
"HR-C7",0,0,0,13,0,7,157,7951.025390625,0.365462839603424,196.711563110352,0.521540462970734,"Human/Other","ModifiedNative","8"
"HR-C8",1,1,1,6,0,2,60,7507.86572265625,0.34107032418251,124.750244140625,0.533863246440887,"Woodland","Reserve","8"
"HR-C9",2,0,0,1,0,0,60,7507.86572265625,0.34107032418251,124.750244140625,0.533863246440887,"Woodland","Reserve","8"
"HR-GT",0,1,0,0,0,0,60,7507.86572265625,0.34107032418251,124.750244140625,0.533863246440887,"Woodland","Reserve","8"
"HR-TR",0,0,0,0,0,3,60,7507.86572265625,0.34107032418251,124.750244140625,0.533863246440887,"Woodland","Reserve","8"
"JC-CEN",1,0,0,2,0,0,99,9934.9853515625,0.286773085594177,152.056274414062,0.52515721321106,"TallEuc","Reserve","8"
"JC-CO-1",0,0,0,2,0,0,118,10677.5966796875,0.304444134235382,81.4096069335938,0.533799231052399,"Human/Other","Urban","8"
"JC-CO-2",0,0,0,15,0,2,99,9934.9853515625,0.286773085594177,152.056274414062,0.52515721321106,"TallEuc","Reserve","8"
"JC-CO-3_S1-6",0,0,0,0,0,3,99,9934.9853515625,0.286773085594177,152.056274414062,0.52515721321106,"TallEuc","Reserve","8"
"JC-CO-4",0,0,0,1,0,0,99,9934.9853515625,0.286773085594177,152.056274414062,0.52515721321106,"TallEuc","Reserve","8"
"JC-PM-12",0,0,0,1,0,1,99,9934.9853515625,0.286773085594177,152.056274414062,0.52515721321106,"TallEuc","Reserve","8"
"JC-PM-23",0,0,0,0,0,4,99,9934.9853515625,0.286773085594177,152.056274414062,0.52515721321106,"TallEuc","Reserve","8"
"LH-CX1",0,0,0,0,0,0,12,967.95166015625,0.283940821886063,756.942687988281,0.504915118217468,"TallEuc","Reserve","4"
"LH-CX1_S1-2",0,0,0,1,0,4,12,967.95166015625,0.283940821886063,756.942687988281,0.504915118217468,"TallEuc","Reserve","4"
"LH-CX2",0,0,0,0,0,0,58,1671.42895507812,0.293013602495193,784.275207519531,0.507306158542633,"TallEuc","ModifiedNative","4"
"LH-CX2_S1",0,0,0,0,0,0,58,1671.42895507812,0.293013602495193,784.275207519531,0.507306158542633,"TallEuc","ModifiedNative","4"
"LH-CX3_S1",0,0,0,0,0,0,19,1965.70837402344,0.281703323125839,782.919799804688,0.506541073322296,"TallEuc","Reserve","4"
"LH-N1",0,0,0,0,0,3,81,1023.64959716797,0.248502999544144,807.904663085938,0.498466819524765,"TallEuc","Reserve","4"
"LH-N2",0,0,0,0,4,0,66,1879.78540039062,0.367529690265656,723.630493164062,0.508663833141327,"Grassland","Reserve","4"
